,s,radiusMin,radiusMax,radiusMean,radiusSd,plHydrophobicityMin,plHydrophobicityMax,plHydrophobicityMean,plHydrophobicitySd,pfHydrophobicityMin,pfHydrophobicityMax,pfHydrophobicityMean,pfHydrophobicitySd,densityMin,densityMax,densityMean,densitySd,energyMin,energyMax,energyMean,energySd
10,-15.888150215148926,4.889751434326172,4.889751434326172,4.889751434326172,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
11,-15.861976623535156,4.8648810386657715,4.8648810386657715,4.8648810386657715,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
12,-15.835803985595703,4.840877532958984,4.840877532958984,4.840877532958984,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
13,-15.809630393981934,4.817146301269531,4.817146301269531,4.817146301269531,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
14,-15.78345775604248,4.793150901794434,4.793150901794434,4.793150901794434,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
15,-15.757284164428711,4.768813133239746,4.768813133239746,4.768813133239746,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
16,-15.731111526489258,4.744295120239258,4.744295120239258,4.744295120239258,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
17,-15.704937934875488,4.719753265380859,4.719753265380859,4.719753265380859,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
18,-15.678765296936035,4.695323467254639,4.695323467254639,4.695323467254639,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
19,-15.652591705322266,4.671000957489014,4.671000957489014,4.671000957489014,0.0,-0.0009796071099117398,-0.0009796071099117398,-0.0009796071099117398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4028234663852886e+38,-3.4028234663852886e+38,-3.4028234663852886e+38,0.0
